Country,Country Key,Year,Foreign highly skilled personnel ,Digital/Technological skills ,Total expenditure on R&D (%) ,Scientific research legislation ,Mobile broadband subscribers ,EParticipation ,Use of big data and analytics ,Total public exp. on education per student ,Health infrastructure ,Skilled labor ,Gross Domestic Product (GDP) ,GDP (PPP) per capita ,Exports of goods  growth ,Government budget surplus/deficit (%) ,Tax evasion ,Pension funding ,Protectionism ,Equal opportunity ,Disposable income ,Listed domestic companies ,Image abroad or branding ,Digital transformation in companies ,Total final energy consumption per capita 
Argentina,AR,1995,0.5245645791819411,0.708585718255072,-0.5611940298507463,1.0832409692291836,1.0230392883617496,0.713692946058091,1.13054455930283,2.309253059089128,0.7385159010600709,-0.013830924267100838,0.08229966828777839,0.39009280082131836,1.715123070311836,-0.8369015181004283,1.102486998005709,1.1270724874184919,1.1978652779667938,1.2556295955882362,0.9098345755317199,-0.3163361661945231,0.0954247007978724,1.0137457044673548,-0.6754658385093167
Argentina,AR,1996,0.35415037799850896,0.23809391497638274,-0.5412935323383085,0.6727557489280125,1.443617494440326,0.921161825726141,0.8662521506805246,2.472462871531278,0.2614840989399294,0.6311202157980452,0.13607437056558644,0.7459037081971297,0.008031169346666379,-0.3036200856364345,0.18379540922066165,0.647117659637577,0.33232363398203585,0.5581506039915971,0.9367387747682229,-0.32577903682719545,-0.07053274601063851,0.32989690721649445,-0.659937888198758
Argentina,AR,1997,0.14823321823519536,-0.0766601833842726,-0.5412935323383085,0.5612108521070419,1.245544848035582,0.19087136929460552,0.9337310635202622,3.0484711853413087,0.308833922261484,0.7353547434853417,0.2149464728441563,0.589873951509831,-0.22780601067851203,-0.48267808485792146,-0.8236812262933568,0.7329448758995759,1.159759670998911,1.0959657300420174,0.4648245773495715,-0.37771482530689326,0.1635098071808508,0.5051546391752579,-0.5978260869565218
Argentina,AR,1998,-0.5144886752559287,-0.7094470686301746,-0.5512437810945273,0.07041330609477207,1.245544848035582,0.19087136929460552,-0.06908055784806028,3.0484711853413082,-0.3335689045936395,-1.1408667548859934,0.2381396695064686,1.0966986973221446,-1.1073695860037325,-0.5216037368625925,-1.2021858991905532,0.05874950605203277,0.2996616851524226,0.8942850577731094,0.4406471550627167,-0.40604343720491026,0.006062998670212827,-0.2972508591065294,-0.5667701863354038
Argentina,AR,1999,-0.5630093853151001,-0.11436510141705972,-0.5114427860696517,0.08714504061791778,1.245544848035582,0.049792531120331995,0.08462141028689725,2.777281267335234,-1.098939929328622,0.5268856881107493,0.17937595448192337,0.9649374658750867,-0.1438781886054948,-0.3970416504476451,-1.1180737496578428,0.032775480078006645,0.5555136176510614,1.003528755252101,0.937465915288128,-0.41076487252124644,0.023084275265957147,-0.15979381443299046,-0.5822981366459629
Argentina,AR,2000,-0.6245478468535618,-0.032397888302305895,-0.5213930348258706,-0.2039871400848152,-0.1024759080800594,-0.7385892116182573,-0.25464756815733897,-0.2079383629148526,-0.9469964664310955,0.6636935057003258,0.18196567102221445,-0.9342140342951525,-0.048200471442255144,-0.1012066952121449,-1.2676064599382166,-0.21341311393667425,0.6480558060016329,-1.492269564075631,-1.1994182875840744,-0.4202077431539188,-0.26627742686170236,-0.3934707903780079,-0.5822981366459629
Argentina,AR,2001,-0.44229932614350265,-0.27829952764656807,-0.5412935323383085,-0.10248128397773237,-0.07905114899925882,-0.38174273858921176,-0.007224887744967653,0.007501840543080239,-0.6501766784452297,1.0871462744299671,0.12343046039828316,-0.9493971048341,-1.0654056749672238,0.22187621642662508,-1.3003167403120486,0.05874950605203277,0.4847460618535656,0.961511948529412,-1.1994182875840744,-0.49575070821529743,-0.8705327460106386,-0.23367697594501746,-0.6444099378881989
Argentina,AR,2003,-1.8340153024748642,0.09055293136982558,-0.5512437810945273,-0.7728661138717646,-0.07905114899925882,-0.44813278008298774,-0.4458378212032618,-0.25526695173713376,-1.2508833922261484,0.7353547434853417,-0.40681400122630695,-0.9585951451110866,0.15154774509152574,-0.8641494745036981,-1.4311578618073755,-0.6086700309327214,-0.8598374982988563,1.020335477941177,-1.1994182875840744,-0.5146364494806421,-2.0620221077127665,-0.6890034364261174,-0.6366459627329194
Argentina,AR,2004,-1.6801691486287105,0.246290636287858,-0.5213930348258706,-0.7427489917301024,-0.46867309117865086,-0.6141078838174275,-0.22090811173746974,0.0,-1.049469964664311,0.7158107695439735,-0.3172021921188832,-0.899324344482028,0.2917072079534646,0.05838847800700658,-1.2535877683494316,-0.7136954403059571,-0.957823344787697,-0.09731158088235292,-0.987820396291582,-0.5288007554296505,-1.9301072140957451,-0.6477663230240556,-0.5279503105590062
Argentina,AR,2005,-1.5736602728890654,0.04956932481244793,-0.5014925373134328,-0.9156435818026066,-1.0377464788732396,-0.18257261410788375,-0.47207962064093717,0.12637606733744258,-1.028268551236749,0.27281402687296397,-0.20268340334454274,-0.83350854537542,0.27156453065594033,-0.3620085636434411,-1.2676064599382166,-0.912453204281112,-1.0177035843086548,-0.6267233455882354,-0.19360116342483127,-0.5429650613786591,-1.8322348736702132,-0.6134020618556698,-0.5279503105590062
Argentina,AR,2006,-1.1121218113506035,-0.0733814948596828,-0.5611940298507463,-1.0327657234646257,0.5349740548554481,0.5228215767634851,-0.18529424107205245,1.8850151780690914,-0.6007067137809188,-0.3069905333876221,0.10785407708976803,0.8022040727802413,0.15826197085736712,-0.3659011288439082,-0.8797559926484971,-0.452825875088566,-1.1646823540419158,0.43210018382352955,0.9183784766406099,-0.5335221907459867,-1.4194689162234047,-0.5292096219931277,-0.46583850931677034
